RA,CÓDIGO TURMA,TURMA
11012316,DAESTO011-17SA,Fundamentos de Desenho Técnico A-Matutino (Santo André)
21019311,NAESHT003-17SB,Demografia A-Noturno (São Bernardo)
21019311,NAESHC037-17SB,Econometria III A-Noturno (São Bernardo)
21019311,NAESHT012-17SB,Mobilização Produtiva dos Territórios e Desenvolvimento Local A-Noturno (São Bernardo)
21019311,NAESTG023-17SB,Organização do Trabalho A-Noturno (São Bernardo)
11117313,DAESTM001-17SA,Estado Sólido A-Matutino (Santo André)
11117313,DAESZM039-17SA,Processamento de Materiais Cerâmicos A-Matutino (Santo André)
11117313,DAESZM033-17SA,Reciclagem e Ambiente A-Matutino (Santo André)
21034812,DAESHR004-13SB,Economia Política Internacional da Energia A-Matutino (São Bernardo)
21034812,DB2BCN0402-15SB,Funções de Uma Variável B2-Matutino (São Bernardo)
11096513,NA1BCK0103-15SA,Física Quântica A1-Noturno (Santo André)
11096513,NB2BCN0402-15SA,Funções de Uma Variável B2-Noturno (Santo André)
11096513,DA2ESTU007-17SA,Habitação e Assentamentos Humanos A2-Matutino (Santo André)
11096513,DA1ESTU029-17SA,Hidráulica de Condutos Livres A1-Matutino (Santo André)
11096513,DAESTU011-17SA,Planejamento Urbano e Metropolitano A-Matutino (Santo André)
21083914,DAESHC003-17SB,Desenvolvimento Socioeconômico A-Matutino (São Bernardo)
21083914,DAESHC037-17SB,Econometria III A-Matutino (São Bernardo)
21083914,DAESHC038-17SB,Economia Monetária A-Matutino (São Bernardo)
21083914,DABHO0101-15SB,Estado e Relações de Poder A-Matutino (São Bernardo)
21055316,NABIQ0602-15SB,Estrutura e Dinâmica Social A-Noturno (São Bernardo)
21055316,NB2BCJ0204-15SB,Fenômenos Mecânicos B2-Noturno (São Bernardo)
21055316,NB2BCN0402-15SB,Funções de Uma Variável B2-Noturno (São Bernardo)
11201721279,DA6BCJ0204-15SA,Fenômenos Mecânicos A6-Matutino (Santo André)
11201721279,DA1BCN0402-15SA,Funções de Uma Variável A1-Matutino (Santo André)
11201721279,DA1BCN0404-15SA,Geometria Analítica A1-Matutino (Santo André)
21031814,NB1BHO1101-15SB,Introdução à Economia B1-Noturno (São Bernardo)
21031814,NB1BHO0001-15SB,Introdução às Humanidades e Ciências Sociais B1-Noturno (São Bernardo)
21031814,NBBHP0202-15SB,Pensamento Crítico B-Noturno (São Bernardo)
11201722296,DABIK0102-15SA,Estrutura da Matéria A-Matutino (Santo André)
11201722296,NA7BCJ0204-15SA,Fenômenos Mecânicos A7-Noturno (Santo André)
11201722296,NA1BCN0402-15SA,Funções de Uma Variável A1-Noturno (Santo André)
11201722296,NA1BCM0504-15SA,Natureza da Informação A1-Noturno (Santo André)
11001414,DAMCTA004-17SA,Arquitetura de Computadores A-Matutino (Santo André)
11001414,DAMCTA008-17SA,Computação Gráfica A-Matutino (Santo André)
11001414,NAMCZA028-13SA,Sistemas Multiagentes A-Noturno (Santo André)
11001414,NAMCZA047-14SA,Sistemas Multi-Robôs Sociais A-Noturno (Santo André)
11032014,NAESTA007-17SA,Eletrônica Analógica Aplicada A-Noturno (Santo André)
11032014,NA1MCTA014-15SA,Inteligência Artificial A1-Noturno (Santo André)
11032014,NB1BCS0002-15SA,Projeto Dirigido B1-Noturno (Santo André)
11032014,NAESTA008-17SB,Sistemas de Controle II A-Noturno (São Bernardo)
11032014,NAESTI003-17SB,Transformadas em Sinais e Sistemas Lineares A-Noturno (São Bernardo)
21029813,NAESTO013-17SB,Engenharia Econômica A-Noturno (São Bernardo)
